Function,Global_Opt,GrVS-Mapping-BO_mean,GrVS-Mapping-BO_std,GrVS-Mapping-BO_best,GrVS-Mapping-BO_regret,GrVS-TopK-TailFilter-BO_mean,GrVS-TopK-TailFilter-BO_std,GrVS-TopK-TailFilter-BO_best,GrVS-TopK-TailFilter-BO_regret,GrVS-NoExplicit-TailFilter-BO_mean,GrVS-NoExplicit-TailFilter-BO_std,GrVS-NoExplicit-TailFilter-BO_best,GrVS-NoExplicit-TailFilter-BO_regret,Add-GP-UCB_mean,Add-GP-UCB_std,Add-GP-UCB_best,Add-GP-UCB_regret,REMBO_mean,REMBO_std,REMBO_best,REMBO_regret,ALEBO_mean,ALEBO_std,ALEBO_best,ALEBO_regret,Gr-VS_mean,Gr-VS_std,Gr-VS_best,Gr-VS_regret,BAxUS_mean,BAxUS_std,BAxUS_best,BAxUS_regret
F1,100,2542108528299.681,117869036527.34834,2379184883430.366,2542108528199.681,2654231194971.378,46064756628.558365,2589909825342.2954,2654231194871.378,2589828471118.4365,80353875796.13911,2488115473048.714,2589828471018.4365,2978278884665.9614,0.0,2978278884665.9614,2978278884565.9614,2853342633104.849,97458189713.27844,2684487384527.9927,2853342633004.849,3009626349629.0186,141159680711.78006,2906607345770.7334,3009626349529.0186,1694488338116.5144,192015370039.9933,1483414303963.7966,1694488338016.5144,2834434066296.518,50871844656.58927,2756768053062.8496,2834434066196.518
F5,500,2249.198187337172,4.4337394435606425,2243.5849850921586,1749.198187337172,2226.277542111774,41.07356222218529,2154.501895542052,1726.277542111774,2225.549451986597,18.525135242922833,2198.3856116958286,1725.549451986597,2384.192328811685,0.0,2384.192328811685,1884.192328811685,2227.1840917489717,50.2420936303032,2139.3881505517857,1727.1840917489717,2284.5807533675907,40.08697091086085,2224.7712333737654,1784.5807533675907,2067.1024663035787,52.73832255840626,2000.1174464197873,1567.1024663035787,2166.6540213768726,39.36910137476276,2099.128977423261,1666.6540213768726
F10,1000,34742.905618023426,541.3701300720758,33827.86910368658,33742.905618023426,34132.11526634604,761.1447243806618,32812.5138324111,33132.11526634604,33786.92131691321,1230.6422406779266,32021.74021339202,32786.92131691321,36385.541522427135,377.4077469854017,35739.30381056232,35385.541522427135,34097.62828090918,651.814722277014,32913.083089109474,33097.62828090918,37029.91377120027,317.2621617722771,36675.11958395531,36029.91377120027,32265.3027594811,1326.3914658713,30097.918578506564,31265.3027594811,34746.990564414074,758.5722903412311,33597.92216778115,33746.990564414074
F15,1500,275097988735.53455,5917852602.748689,267099733534.27966,275097987235.53455,261233537851.3514,14297880437.929842,233827237991.564,261233536351.3514,293368314924.06775,41132563456.34357,257169594095.17297,293368313424.06775,414752837155.48267,0.0,414752837155.48267,414752835655.48267,328110646055.938,33157404175.647453,265449110029.76065,328110644555.938,399442188967.2435,31705942114.503178,369745172580.01733,399442187467.2435,151029279533.21576,63066432667.45382,73897451802.93779,151029278033.21576,375954901031.6626,3768524599.5480065,370723793952.60535,375954899531.6626
F20,2000,8198.038883965033,387.57756160596637,7812.645955706639,6198.038883965033,8654.570364831456,518.9647796057361,8149.18849017179,6654.570364831456,8685.296860243328,482.14375833448014,8206.56317862268,6685.296860243328,9112.23924618449,164.2879680679799,8918.402513599041,7112.23924618449,9132.745399543348,603.0691121940159,8360.480598249025,7132.745399543348,9343.292903227306,595.5299454847595,8581.396738957388,7343.292903227306,8239.49501343165,749.1295711673191,6957.488124213477,6239.49501343165,8892.802919920387,367.7704171825013,8333.814883138257,6892.802919920387
F25,2500,28363.63343797037,1833.6237662649687,25348.719380021685,25863.63343797037,28742.811983752916,2545.165135813588,25618.96282135922,26242.811983752916,27854.650594584702,1078.7444432523778,26046.69859652746,25354.650594584702,35904.147462688015,0.0,35904.147462688015,33404.147462688015,30296.311305261886,2919.7349767131636,24604.445830971454,27796.311305261886,35236.4803177104,1445.7752285655329,33067.30873891941,32736.480317710397,21002.728896835604,4728.516408715018,14915.690512033892,18502.728896835604,32563.81370318102,1174.9457318918899,30644.21430754975,30063.81370318102
F30,3000,402865524915.3494,36551272994.227806,340940943236.6553,402865521915.3494,407555463337.094,18744806313.939594,376782665393.0771,407555460337.094,415207725974.98566,30667672191.210472,380341952448.1535,415207722974.98566,567278182348.9463,5392693389.775879,556492795569.3945,567278179348.9463,437871607564.89514,79508621714.45566,314471169441.4764,437871604564.89514,534246761119.0335,24912599838.102398,498429524565.1387,534246758119.0335,244911652343.68115,48485425517.01556,187410718363.24396,244911649343.68115,528639013077.0174,10264352707.393824,511623836725.4694,528639010077.0174
