Algorithm,Avg_Rank,Num_Functions
Gr-VS,1.1428571428571428,7
GrVS-Mapping-BO,2.2857142857142856,7
REMBO,3.2857142857142856,7
BAxUS,3.4285714285714284,7
Add-GP-UCB,5.428571428571429,7
ALEBO,5.428571428571429,7
